date,MSCI_WORLD_ACWI,IEF_BOND_7_10_INDEX
2005-01-03,282.72,56.7846
2005-01-04,279.54,56.5277
2005-01-05,277.81,56.5574
2005-01-06,277.58,56.5877
2005-01-07,277.1,56.5309
2005-01-10,278.1,56.5706
2005-01-11,277.45,56.6966
2005-01-12,278.57,56.7499
2005-01-13,277.01,56.9618
2005-01-14,277.62,56.8471
2005-01-17,278.2,
2005-01-18,278.86,56.9392
2005-01-19,277.73,56.9713
2005-01-20,275.19,57.0662
2005-01-21,274.58,57.1723
2005-01-24,274.67,57.249
2005-01-25,274.74,56.9993
2005-01-26,277.03,56.9787
2005-01-27,277.05,56.9177
2005-01-28,276.05,57.1942
2005-01-31,278.3,57.2259
2005-02-01,279.58,57.2227
2005-02-02,280.71,57.1953
2005-02-03,279.49,57.1106
2005-02-04,282.1,57.4555
2005-02-07,281.75,57.5499
2005-02-08,281.19,57.604
2005-02-09,280.12,57.8368
2005-02-10,281.72,57.5177
2005-02-11,283.45,57.3904
2005-02-14,284.87,57.488
2005-02-15,285.77,57.4045
2005-02-16,285.15,57.1815
2005-02-17,284.7,57.096
2005-02-18,285.15,56.8271
2005-02-21,285.23,
2005-02-22,283.86,56.7677
2005-02-23,283.33,56.8306
2005-02-24,284.59,56.7751
2005-02-25,287.4,56.8035
2005-02-28,287.49,56.5016
2005-03-01,288.2,56.4579
2005-03-02,287.55,56.441
2005-03-03,287.79,56.4118
2005-03-04,291.03,56.6737
2005-03-07,291.06,56.7324
2005-03-08,291.2,56.4741
2005-03-09,289.5,55.9731
2005-03-10,288.83,56.1632
2005-03-11,288.52,55.8706
2005-03-14,288.12,55.9631
2005-03-15,287.21,55.8824
2005-03-16,285.82,55.9867
2005-03-17,285.47,56.1684
2005-03-18,285.08,56.0316
2005-03-21,283.33,56.0163
2005-03-22,282.18,55.7043
2005-03-23,279.65,55.6988
2005-03-24,279.37,55.7527
2005-03-25,279.55,
2005-03-28,279.14,55.6445
2005-03-29,277.67,55.787
2005-03-30,279.62,55.9191
2005-03-31,280.51,56.1846
2005-04-01,280.01,56.3457
2005-04-04,278.55,56.356
2005-04-05,280.11,56.3149
2005-04-06,280.99,56.4481
2005-04-07,282.63,56.3365
2005-04-08,281.27,56.2684
2005-04-11,281.67,56.443
2005-04-12,281.29,56.7705
2005-04-13,280.25,56.7568
2005-04-14,277.19,56.8314
2005-04-15,273.85,57.1577
2005-04-18,272.02,57.2772
2005-04-19,274.38,57.4628
2005-04-20,272.57,57.4383
2005-04-21,275.22,57.1202
2005-04-22,275.29,57.2899
2005-04-25,276.35,57.3149
2005-04-26,274.63,57.2824
2005-04-27,273.87,57.4052
2005-04-28,271.68,57.6694
2005-04-29,273.7,57.5674
2005-05-02,274.24,57.6159
2005-05-03,274.69,57.5722
2005-05-04,277.82,57.6736
2005-05-05,278.01,57.8053
2005-05-06,278.13,57.4008
2005-05-09,278.43,57.3732
2005-05-10,276.57,57.5972
2005-05-11,276.2,57.6468
2005-05-12,274.17,57.7251
2005-05-13,272.64,57.8916
2005-05-16,273.12,57.912
2005-05-17,274.04,57.9527
2005-05-18,276.56,58.151
2005-05-19,278.17,57.9959
2005-05-20,277.34,57.9234
2005-05-23,278.84,58.163
2005-05-24,278.98,58.3268
2005-05-25,278.08,58.1888
2005-05-26,279.03,58.1708
2005-05-27,279.75,58.2061
2005-05-30,280.08,
2005-05-31,278.07,58.4911
2005-06-01,279.9,58.8896
2005-06-02,280.49,58.9479
2005-06-03,279.67,58.6064
2005-06-06,279.86,58.6912
2005-06-07,280.53,58.8961
2005-06-08,280.67,58.781
2005-06-09,279.97,58.6772
2005-06-10,279.85,58.3657
2005-06-13,279.68,58.2369
2005-06-14,280.35,58.0999
2005-06-15,281.23,58.1255
2005-06-16,282.38,58.2783
2005-06-17,284.72,58.2573
2005-06-20,283.85,58.1877
2005-06-21,284.02,58.39
2005-06-22,284.37,58.8206
2005-06-23,282.51,58.7665
2005-06-24,280.73,58.9385
2005-06-27,280.06,59.0189
2005-06-28,281.65,58.764
2005-06-29,281.59,58.6888
2005-06-30,280.44,58.8415
2005-07-01,280.3,58.4694
2005-07-04,280.16,
2005-07-05,281.11,58.217
2005-07-06,280.72,58.3612
2005-07-07,279.52,58.4894
2005-07-08,282.22,58.2348
2005-07-11,285.16,58.2685
2005-07-12,286.63,58.1262
2005-07-13,286.16,58.0427
2005-07-14,287.22,57.9826
2005-07-15,286.68,58.0048
2005-07-18,286.02,57.8575
2005-07-19,286.71,57.9826
2005-07-20,287.47,58.0745
2005-07-21,288.22,57.6879
2005-07-22,289,57.8849
2005-07-25,288.22,57.8192
2005-07-26,287.86,57.8412
2005-07-27,289.21,57.7675
2005-07-28,290.94,58.0264
2005-07-29,290.57,57.7089
2005-08-01,291.6,57.5867
2005-08-02,293.89,57.5311
2005-08-03,294.84,57.6693
2005-08-04,293.35,57.6001
2005-08-05,290.89,57.3165
2005-08-08,291.37,57.2332
2005-08-09,292.87,57.3349
2005-08-10,294.7,57.3494
2005-08-11,296.66,57.5683
2005-08-12,295.72,57.8542
2005-08-15,295.54,57.747
2005-08-16,293.37,57.9351
2005-08-17,292.75,57.7699
2005-08-18,290.69,58.0278
2005-08-19,291.27,58.0468
2005-08-22,293.28,58.073
2005-08-23,291.98,58.1656
2005-08-24,290.83,58.196
2005-08-25,290.86,58.2615
2005-08-26,289.84,58.1302
2005-08-29,289.72,58.2107
2005-08-30,288.96,58.546
2005-08-31,292.2,58.8648
2005-09-01,295.16,58.9408
2005-09-02,295.61,58.8977
2005-09-05,296.21,
2005-09-06,298.31,58.7171
2005-09-07,298.77,58.5356
2005-09-08,297.67,58.5201
2005-09-09,300.08,58.5738
2005-09-12,299.5,58.4132
2005-09-13,297.56,58.5733
2005-09-14,297.84,58.4443
2005-09-15,297.6,58.2791
2005-09-16,299.22,58.0894
2005-09-19,298.38,58.1814
2005-09-20,298.19,58.1684
2005-09-21,296.69,58.3863
2005-09-22,295.88,58.4387
2005-09-23,295.45,58.1622
2005-09-26,297.19,58.0118
2005-09-27,296.34,57.967
2005-09-28,297.82,58.1186
2005-09-29,299.87,58.01
2005-09-30,300.6,57.8466
2005-10-03,299.8,57.6525
2005-10-04,298.87,57.6827
2005-10-05,294.95,57.7485
2005-10-06,292.86,57.7334
2005-10-07,292.95,57.7609
